Time,Time Code,Country Name,Country Code,Net migration [SM.POP.NETM],"Population, total [SP.POP.TOTL]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL]
2012,YR2012,Ireland,IRL,-111819,4599533,46001.27329,80.84634146,..
2012,YR2012,Isle of Man,IMN,..,84534,76833.19813,..,..
2012,YR2012,Israel,ISR,19497,7910500,33995.42769,81.70487805,..
2012,YR2012,Italy,ITA,1637369,59539717,31184.55843,82.23902439,..
2012,YR2012,Jamaica,JAM,-56658,2842128,4887.586951,74.001,..
2012,YR2012,Japan,JPN,358133,127629000,33518.44494,83.09609756,..
2012,YR2012,Jordan,JOR,1056759,8089963,4386.745095,73.722,..
2012,YR2012,Kazakhstan,KAZ,159807,16792090,9823.693897,69.52,..
2012,YR2012,Kenya,KEN,-50000,44343469,1381.968708,62.659,..
2012,YR2012,Kiribati,KIR,-4123,106359,1414.611735,66.381,..
2012,YR2012,"Korea, Dem. People's Rep.",PRK,-27013,24800638,..,70.454,..
2012,YR2012,"Korea, Rep.",KOR,401183,50199853,26675.44017,80.8195122,..
2012,YR2012,Kosovo,XKX,..,1807106,3021.367225,70.49756098,..
2012,YR2012,Kuwait,KWT,580000,3348852,33455.23897,74.728,..
2012,YR2012,Kyrgyz Republic,KGZ,-93353,5607200,993.7374233,70.00243902,..
2012,YR2012,Lao PDR,LAO,-112313,6444527,1795.137631,65.267,..
2012,YR2012,Latvia,LVA,-83325,2034319,12410.30799,73.77804878,..
2012,YR2012,Lebanon,LBN,1192354,5537620,8434.496601,78.611,..
2012,YR2012,Lesotho,LSO,-47704,2014988,1096.828456,47.416,..
2012,YR2012,Liberia,LBR,25000,4135662,713.0672979,60.663,..
2012,YR2012,Libya,LBY,-300002,6285751,12386.03261,71.901,..
2012,YR2012,Liechtenstein,LIE,..,36615,..,82.38292683,..
2012,YR2012,Lithuania,LTU,-146217,2987773,12678.69269,73.86341463,..
2012,YR2012,Luxembourg,LUX,48704,530946,104487.7442,81.39268293,..
2012,YR2012,"Macao SAR, China",MAC,42350,564037,93801.76028,83.158,..
2012,YR2012,North Macedonia,MKD,-8853,2061044,4408.296437,74.90243902,..
2012,YR2012,Madagascar,MDG,-7500,22346641,464.7431741,64.28,..
2012,YR2012,Malawi,MWI,-80263,15396010,362.1315659,58.629,..
2012,YR2012,Malaysia,MYS,249999,29068189,8888.702522,74.877,..
2012,YR2012,Maldives,MDV,58358,397231,8732.629171,76.664,..
2012,YR2012,Mali,MLI,-302449,15979492,705.1394494,56.135,..
2012,YR2012,Malta,MLT,15505,420028,21221.51164,80.74634146,..
2012,YR2012,Marshall Islands,MHL,..,56712,3095.919735,..,..
2012,YR2012,Mauritania,MRT,25002,3706555,1453.813457,63.079,..
2012,YR2012,Mauritius,MUS,-12079,1255882,8384.323783,73.86341463,..
2012,YR2012,Mexico,MEX,-422477,117274156,9280.258638,74.966,..
2012,YR2012,"Micronesia, Fed. Sts.",FSM,-2999,104506,3076.165405,66.817,..
2012,YR2012,Moldova,MDA,-7020,2859458,2373.743031,70.581,..
2012,YR2012,Monaco,MCO,..,36459,139442.7181,..,..
2012,YR2012,Mongolia,MNG,-4262,2824698,3335.793592,68.217,..
2012,YR2012,Montenegro,MNE,-3112,620601,5995.771635,76.2,..
2012,YR2012,Morocco,MAR,-367108,33241898,2673.045654,74.97,..
2012,YR2012,Mozambique,MOZ,-25000,24862673,523.294376,53.931,..
